Date,Predicted Usage [kW]
2014-12-01,29.9414816480947
2014-12-02,28.854325805413723
2014-12-03,25.14367711069685
2014-12-04,29.57957632998331
2014-12-05,21.998572791360857
2014-12-06,25.69819760315684
2014-12-07,25.485036148832595
2014-12-08,22.59151967084013
2014-12-09,23.863641435139996
2014-12-10,26.809128150344154
2014-12-11,24.79624822512237
2014-12-12,23.292179090733327
2014-12-13,24.8833593735664
2014-12-14,23.070239403310065
2014-12-15,25.824259730356815
2014-12-16,19.078868484176407
2014-12-17,26.338303314309645
2014-12-18,27.944441940357056
2014-12-19,27.307978901806838
2014-12-20,22.893085922917983
2014-12-21,22.378534648185024
2014-12-22,21.29002737501316
2014-12-23,24.096871140766368
2014-12-24,25.955265776515294
2014-12-25,31.843425018379158
2014-12-26,31.690878746382232
2014-12-27,24.34325830012264
2014-12-28,27.700753402119737
2014-12-29,28.62773958461859
2014-12-30,27.218699888869665
2014-12-31,23.89814087033857
